TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N137CG,2025-08-02,B733,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.34
N137CG,2025-08-02,B733,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.47
N137CG,2025-08-02,B733,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.71
N137CG,2025-08-02,B733,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.65
N137CG,2025-08-02,B733,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.10
N137CG,2025-08-02,B733,Grand Junction Rgnl (KGJT),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,25.79
N137CG,2025-08-01,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,29.51
N137CG,2025-07-31,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,26.69
N137CG,2025-07-31,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,27.00
N137CG,2025-07-31,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,28.67
N137CG,2025-07-31,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,29.42
N137CG,2025-07-31,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,25.81
N137CG,2025-07-26,B733,Gowen Field (KBOI),Deer Creek - UTMLF,2025-07-10,2025-07-26,28.65
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-01,29.34
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.36
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-01,29.52
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.54
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-01,28.87
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.89
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-01,28.04
N138CG,2025-08-01,B733,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.05
N138CG,2025-08-01,B733,Sacramento McClellan (KMCC),Gifford Fire - CALPF,2025-08-01,2025-08-01,28.39
N138CG,2025-08-01,B733,Sacramento McClellan (KMCC),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.36
N140CG,2025-08-07,Unknown,General Wm J Fox Airfield (KWJF),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.80
N140CG,2025-08-07,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.91
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.40
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.79
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.77
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.68
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.01
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.90
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.70
N140CG,2025-08-06,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.36
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.85
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.05
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.70
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,27.93
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.46
N140CG,2025-08-05,Unknown,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.55
N140CG,2025-08-05,Unknown,General Wm J Fox Airfield (KWJF),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.80
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.58
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.20
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.99
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.95
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.98
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.31
N140CG,2025-08-04,Unknown,Colorado Sprgs Muni (KCOS),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.57
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,29.73
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Lee Fire - COWRD,2025-08-02,2025-08-07,27.32
N140CG,2025-08-04,Unknown,Durango-La Plata County (KDRO),Leroux Fire - COMRD,2025-08-03,2025-08-07,28.20
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.38
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.21
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.62
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.52
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.40
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.82
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.64
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.80
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.51
N140CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.46
N140CG,2025-08-02,Unknown,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,29.73
N140CG,2025-08-02,Unknown,Missoula Montana (KMSO),Cedar Fire - Idaho - IDSCF,2025-07-29,2025-08-07,28.46
N140CG,2025-07-30,Unknown,Magic Valley Rgnl (KTWF),Cedar Fire - Idaho - IDSCF,2025-07-29,2025-08-07,26.48
N140CG,2025-07-30,Unknown,Magic Valley Rgnl (KTWF),Cedar Fire - Idaho - IDSCF,2025-07-29,2025-08-07,28.23
N140CG,2025-07-30,Unknown,Missoula Montana (KMSO),Cedar Fire - Idaho - IDSCF,2025-07-29,2025-08-07,28.46
N140CG,2025-07-29,Unknown,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,29.73
